nome;lat;lon
Afonso Cláudio;-20.0778;-41.1262
Água Doce do Norte;-18.5483;-40.9852
Águia Branca;-18.9846;-40.7439
Alegre;-20.7581;-41.5382
Alfredo Chaves;-20.6396;-40.7543
Alto Rio Novo;-19.0618;-41.0202
Anchieta;-20.7986;-40.6421
Apiacá;-21.1534;-41.5697
Aracruz;-19.8192;-40.2767
Atilio Vivacqua;-20.9135;-41.1985
Baixo Guandu;-19.5077;-41.0108
Barra de São Francisco;-18.7547;-40.8961
Boa Esperança;-18.5396;-40.3027
Bom Jesus do Norte;-21.1173;-41.6736
Brejetuba;-20.1399;-41.2955
Cachoeiro de Itapemirim;-20.8462;-41.1198
Cariacica;-20.2632;-40.4204
Castelo;-20.6037;-41.2031
Colatina;-19.5366;-40.6269
Conceição da Barra;-18.5872;-39.7368
Conceição do Castelo;-20.3635;-41.2412
Divino de São Lourenço;-20.6225;-41.6932
Domingos Martins;-20.3626;-40.6602
Dores do Rio Preto;-20.6939;-41.8403
Ecoporanga;-18.3708;-40.8361
Fundão;-19.9371;-40.4076
Governador Lindenberg;-19.1864;-40.4477
Guaçuí;-20.7722;-41.6738
Guarapari;-20.6658;-40.4973
Ibatiba;-20.2347;-41.5081
Ibiraçu;-19.8303;-40.3733
Ibitirama;-20.5466;-41.6661
Iconha;-20.7913;-40.8131
Irupi;-20.3509;-41.6445
Itaguaçu;-19.8013;-40.8596
Itapemirim;-21.0094;-40.8305
Itarana;-19.8758;-40.8751
Iúna;-20.3531;-41.5336
Jaguaré;-18.9072;-40.0722
Jerônimo Monteiro;-20.7994;-41.3947
João Neiva;-19.7574;-40.3866
Laranja da Terra;-19.8991;-41.0635
Linhares;-19.3947;-40.0643
Mantenópolis;-18.8592;-41.1245
Marataízes;-21.0399;-40.8382
Marechal Floriano;-20.4159;-40.6684
Marilândia;-19.4125;-40.5459
Mimoso do Sul;-21.0625;-41.3618
Montanha;-18.1302;-40.3666
Mucurici;-18.0961;-40.5213
Muniz Freire;-20.4651;-41.415
Muqui;-20.9505;-41.3462
Nova Venécia;-18.7069;-40.4044
Pancas;-19.2228;-40.8532
Pedro Canário;-18.3007;-39.9578
Pinheiros;-18.4141;-40.2171
Piúma;-20.8406;-40.7264
Ponto Belo;-18.1244;-40.5453
Presidente Kennedy;-21.0961;-41.046
Rio Bananal;-19.262;-40.3365
Rio Novo do Sul;-20.8598;-40.9382
Santa Leopoldina;-20.0991;-40.527
Santa Maria de Jetibá;-20.0252;-40.7438
Santa Teresa;-19.9363;-40.5979
São Domingos do Norte;-19.1456;-40.628
São Gabriel da Palha;-19.0193;-40.5363
São José do Calçado;-21.0271;-41.6635
São Mateus;-18.7226;-39.8577
São Roque do Canaã;-19.741;-40.6529
Serra;-20.1211;-40.3074
Sooretama;-19.1895;-40.0961
Vargem Alta;-20.6697;-41.0081
Venda Nova do Imigrante;-20.3283;-41.1354
Viana;-20.3825;-40.4933
Vila Pavão;-18.6097;-40.6094
Vila Valério;-18.9951;-40.3841
Vila Velha;-20.3417;-40.2875
Vitória;-20.3155;-40.3128
